Transaction_ID,User_ID,Device_OS,Payment_Method,Transaction_Amount,Last_Step_Reached,Error_Code,Processing_Time_Sec
1001,8174,iOS,ACH,313.91,2,Insufficient_Funds,1.2114621897310216
1002,8507,iOS,ACH,186.14,1,Biometric_Fail,1.945663849488426
1003,5860,Android,ACH,56.93,4,Insufficient_Funds,1.212626503054358
1004,6294,iOS,Credit Card,135.15,2,Timeout,0.564623763221475
1005,6130,iOS,Digital Wallet,132.23,4,None,7.221743663552229
1006,6095,Android,Digital Wallet,269.88,1,Insufficient_Funds,1.1606770972141627
1007,8772,iOS,ACH,56.14,4,Biometric_Fail,2.6985852813247515
1008,8092,iOS,Debit Card,147.66,4,None,9.927186007360774
1009,6638,Android,Credit Card,175.08,4,Timeout,5.410485002261619
1010,7169,Android,Debit Card,265.98,4,Timeout,1.7363318766877693
1011,5466,Web,Digital Wallet,152.87,4,None,1.9356657672075057
1012,6238,Android,Debit Card,79.17,2,Insufficient_Funds,1.2784489249939064
1013,5330,Android,ACH,17.61,3,Biometric_Fail,1.2627032986180609
1014,6482,iOS,Debit Card,90.64,4,Biometric_Fail,7.811130947061704
1015,7135,iOS,Credit Card,413.25,1,Invalid_CVV,2.1114555534946318
1016,8444,iOS,ACH,178.39,4,Insufficient_Funds,0.823548955119545
1017,8171,Android,Credit Card,271.79,4,Invalid_CVV,7.117206579584833
1018,7919,Android,Digital Wallet,247.56,4,Insufficient_Funds,7.78195765992554
1019,8735,Android,Digital Wallet,141.75,2,Timeout,6.447766888459856
1020,5130,Android,Credit Card,422.52,4,None,0.5413168038829796
1021,6685,iOS,Debit Card,469.62,4,None,3.3716319791017413
1022,8380,Android,Debit Card,110.13,2,Timeout,1.7577493413535397
1023,5769,Android,Credit Card,404.68,3,Biometric_Fail,7.834261087342787
1024,7391,Android,ACH,379.12,4,Timeout,5.965324588698681
1025,6515,Android,Credit Card,419.94,1,None,3.093094319753522
1026,8485,Web,Debit Card,207.39,2,None,1.563644360234648
1027,7853,Web,Digital Wallet,344.7,1,Invalid_CVV,7.007074727217166
1028,7433,Web,Digital Wallet,99.06,1,Insufficient_Funds,1.9872138187686568
1029,6215,iOS,Credit Card,484.22,4,Invalid_CVV,3.208287248193817
1030,5955,iOS,Debit Card,362.73,4,Insufficient_Funds,3.2428771933910547
1031,7324,iOS,Digital Wallet,42.88,4,None,6.1970574886268714
1032,6184,iOS,Credit Card,439.61,4,Insufficient_Funds,2.1491767548671135
1033,5459,Android,Debit Card,479.74,4,Timeout,0.5746243927560517
1034,8385,Android,Credit Card,170.15,4,Invalid_CVV,6.817207879018619
1035,5021,Android,Digital Wallet,271.75,4,None,6.526560227886373
1036,7300,Web,Debit Card,496.0,4,Insufficient_Funds,5.479844463142255
1037,5747,Web,ACH,228.22,2,Insufficient_Funds,0.5836522933370869
1038,7904,iOS,Digital Wallet,334.53,3,Insufficient_Funds,5.17895172925915
1039,8632,Web,ACH,228.96,4,Biometric_Fail,8.09382307912592
1040,5474,Android,Digital Wallet,42.45,4,Insufficient_Funds,4.677192558793805
1041,6082,Android,ACH,257.24,4,Insufficient_Funds,1.0911505213907975
1042,7558,Android,ACH,414.24,4,Invalid_CVV,6.609079895953249
1043,8753,iOS,Credit Card,25.55,4,Timeout,4.2264571873284265
1044,7047,Web,Credit Card,223.29,4,None,5.86307521483283
1045,8547,Android,Debit Card,412.03,3,Biometric_Fail,1.94577368072509
